xmltv_id,site_id,name,channelNumber,logoUrl
programandroid-Nick Jr Czech,Nick Jr Czech,,Prima LOVE HD,Nickelodeon DE
programandroid-Nicktoons,Nicktoons,,Prima MAX HD,Nick Jr Czech
programandroid-Nova Action HD,Nova Action HD,,Prima Show,Nicktoons
programandroid-Nova Cinema HD,Nova Cinema HD,,Prima STAR,Nova International
programandroid-Nova Fun HD,Nova Fun HD,,Prima ZOOM HD,Nova Sport 1 HD
programandroid-Nova Gold,Nova Gold,,Rebel,Nova Sport 2 HD
programandroid-Nova HD,Nova HD,,RELAX,ÓČKO
programandroid-Nova Sport 1 HD,Nova Sport 1 HD,,Retro,ÓČKO BLACK HD
programandroid-Nova Sport 2 HD,Nova Sport 2 HD,,RTVS 24 HD,ÓČKO EXPRES HD
programandroid-ÓČKO,ÓČKO,,Senzi,ÓČKO STAR
programandroid-ÓČKO BLACK HD,ÓČKO BLACK HD,,Skylink 7,Penthouse Gold
programandroid-ÓČKO EXPRES HD,ÓČKO EXPRES HD,,Sky News International,Penthouse Reality TV
programandroid-ÓČKO STAR,ÓČKO STAR,,Spektrum HD,Playboy TV Europe
programandroid-Paramount Network,Paramount Network,,Sport 1 DE,Plus HD
programandroid-Penthouse Gold,Penthouse Gold,,Sport 1 HD,Prima PLUS HD
programandroid-Penthouse Reality TV,Penthouse Reality TV,,Sport 2 HD,Rebel
programandroid-Playboy TV Europe,Playboy TV Europe,,SPORT5,RELAX
programandroid-Spektrum HD,Spektrum HD,,,Šláger Muzika
programandroid-Prima COOL HD,Prima COOL HD,,Šláger Muzika,Retro
programandroid-Spektrum Home,Spektrum Home,,,Šláger Originál
programandroid-Prima HD,Prima HD,,Šláger Originál,RTVS ŠPORT HD
programandroid-Sport 1 DE,Sport 1 DE,,,Šlágr Premium HD
programandroid-Prima KRIMI HD,Prima KRIMI HD,,Šlágr Premium HD,RTVS 24 HD
programandroid-Sport 1 HD,Sport 1 HD,,,TA3 HD
programandroid-Prima LOVE HD,Prima LOVE HD,,TA3 HD,Senzi
programandroid-Prima MAX HD,Prima MAX HD,,Televize Seznam,Skylink 7
programandroid-Sport 2 HD,Sport 2 HD,,,Travelxp HD
programandroid-Prima Show,Prima Show,,Travelxp HD,Sky News International
programandroid-Prima STAR,Prima STAR,,TV Barrandov HD,Spektrum HD
programandroid-SPORT5,SPORT5,,,TV Lux HD
programandroid-Prima ZOOM HD,Prima ZOOM HD,,TV Lux HD,Spektrum Home
programandroid-Stingray Classica HD,Stingray Classica HD,,,TV Noe
programandroid-Rebel,Rebel,,TV Noe,Sport 1 DE
programandroid-Stingray CMusic,Stingray CMusic,,,TV Paprika
programandroid-Stingray iConcerts HD,Stingray iConcerts HD,,,TV8 HD
programandroid-RELAX,RELAX,,TV8 HD,Sport 1 HD
programandroid-Šláger Muzika,Šláger Muzika,,,UP NETWORK
programandroid-Retro,Retro,,UP NETWORK,Sport 2 HD
programandroid-Šláger Originál,Šláger Originál,,,Viasat Explore
programandroid-RTVS 24 HD,RTVS 24 HD,,Viasat Explore,SPORT5
