xmltv_id,site_id,name,channelNumber,logoUrl
mujtvprogram-235,235,Deluxe Music,373,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=6de8c49ce5f612790d92730bb91d8a9a&p2=80
mujtvprogram-98,98,Discovery Science,128,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=50445f7e728fcee74d6ae3cf26a10e01&p2=80
mujtvprogram-12,12,Discovery,123,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=d25a71d1efc626184305c8d9fbfc5b68&p2=80
mujtvprogram-31,31,Disney Channel,317,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=1804d66c2d3b101b4bc5d70e93a837c2&p2=80
mujtvprogram-355,355,Disney Junior,322,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=f92320a5b4604bdc832b23f055933046&p2=80
mujtvprogram-317,317,DocuBox,145,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=782fd3bb0aaf3867bc18c399fe28f1d7&p2=80
mujtvprogram-182,182,Doma,43,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=a24db5474fe8f3e05027887241012d65&p2=80
mujtvprogram-533,533,Dorcel TV,404,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=f710f096d8a1ccb88bedbf3d8f6c0c9c&p2=80
mujtvprogram-761,761,Dorcel XXX,405,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=5ef2c19dd1070d963592331a1ff4c6aa&p2=80
mujtvprogram-109,109,Ducktv,325,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=c41009da991fa34dd6a3838f023a95db&p2=80
mujtvprogram-180,180,Dvojka,34,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=790271bf84f7851efcdc0a12076fd4f7&p2=80
mujtvprogram-410,410,E! Entertainment,159,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=f6d7d5a74345a83697f7f2de2ff8dc65&p2=80
mujtvprogram-601,601,Epic Drama,209,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=b45753e5445cae78d5108034155e5f2c&p2=80
mujtvprogram-300,300,Erox HD,402,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=3826a98d95f23374ac25adfb13bdc4f6&p2=80
mujtvprogram-328,328,EroXXX HD,399,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=dee396776bc113f556347793d23e8731&p2=80
mujtvprogram-16,16,Eurosport 1,99,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=566e52b95baae881c30bdb6a78f3d669&p2=80
mujtvprogram-25,25,Eurosport 2,100,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=9028cafedb8845db469da758c7813987&p2=80
mujtvprogram-85,85,Extreme Sports Channel,115,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=77145a11db98d58216052dd47f12a8bd&p2=80
mujtvprogram-338,338,FashionBox HD,165,
mujtvprogram-119,119,Fashion TV,157,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=7bfaa5386645ef6c8fbddd94d47f12d9&p2=80
mujtvprogram-404,404,Fast&FunBox HD,116,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=968f7dcf315da21c8d46c68cee0be070&p2=80
mujtvprogram-301,301,FightBox HD,117,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=1b22577d975f70df2b9b9c8c28584789&p2=80
mujtvprogram-121,121,FilmBox Extra HD,205,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=094c1197addd33a645d3d81668bc6fe9&p2=80
mujtvprogram-271,271,FilmBox Family,208,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=90ff2af980995a625afa54398f16e93b&p2=80
mujtvprogram-65,65,FilmBox Plus,207,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=ffa5c58c7c21beebcc26cdd54bff5f89&p2=80
mujtvprogram-397,397,FilmBox Premium,214,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=9d64faa8b43d7f33d32c4c95e274d4a0&p2=80
mujtvprogram-64,64,FilmBox,206,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=f29d13d4b36e71c9a1e6499756ec2a97&p2=80
mujtvprogram-816,816,Film Europe + HD,203,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=90a8dc111210aa78cc7a0e31f01c96f7&p2=80
mujtvprogram-272,272,Film Europe,225,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=bd9b2369268541fb93d4e66fcfa96549&p2=80
mujtvprogram-63,63,Film+,188,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=6405d5794dcd14a21741af44a947b6d1&p2=80
mujtvprogram-102,102,Fishing & Hunting,154,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=c7de2df3c8b3e40cc59af7f696341cec&p2=80
mujtvprogram-471,471,Food Network,162,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=2bc6e6eb5ae6dfa71b0d0ff63501466d&p2=80
mujtvprogram-376,376,Ginx eSports TV,324,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=8eda5979c1e6a9d668a2c137810ad681&p2=80
mujtvprogram-225,225,Golf Channel,113,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=745ac38c76bf918e605379f63c57710a&p2=80
mujtvprogram-5,5,HBO,200,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=256d42b0fbf7431d5c080332fd09f963&p2=80
mujtvprogram-6,6,HBO2,196,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=978d92c9ea2b035e3d55b592106c4bab&p2=80
mujtvprogram-512,512,HBO3,197,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=2e2ecd1433ea6e8c3ed4d99c7bcef5ad&p2=80
mujtvprogram-125,125,History Channel,127,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=7d71be02a17f95f286b3feaa9bac2f7b&p2=80
mujtvprogram-72,72,Hustler,396,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=0bd717f5b87b04bc1e39b886a492567d&p2=80
mujtvprogram-384,384,Investigation Discovery,136,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=ba38b0a7435dae958e5de733973004dc&p2=80
mujtvprogram-181,181,Jednotka,33,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=af41e26050d9dbe2388a68dc9fb87f10&p2=80
mujtvprogram-77,77,JimJam,318,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=f7a1a62bb85220c1543d18237187af81&p2=80
mujtvprogram-459,459,JOJ Cinema,40,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=2c14c2cb14a6ab09ecc930c06de52c2f&p2=80
mujtvprogram-532,532,JOJ Family,75,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=26b6f679c3959e07eae32c09a361e644&p2=80
mujtvprogram-398,398,Jojko,328,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=844f6dc14d61dd5965f197c6020b5fcb&p2=80
mujtvprogram-924,924,JOJ Šport,102,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=3aed8902d1703977a03f5c8328a9dc52&p2=80
mujtvprogram-1042,1042,JOJ 24,67,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=e87b36b2986de7b80d2439612306dfdb&p2=80
mujtvprogram-185,185,JOJ,37,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=62c2a4ee85ca43296f502887aa2249ee&p2=80
mujtvprogram-454,454,Kino Barrandov,189,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=cf272e1353caa1c5b2a218139c203d2d&p2=80
mujtvprogram-728,728,LALA TV,336,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=29814e891919655c74f472bd00501ea0&p2=80
mujtvprogram-127,127,LEO TV,397,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=f71b0fb59b7e005fd9e060eea105750e&p2=80
mujtvprogram-808,808,Love Nature HD,144,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=d91a50abe9e154fad4be716760a11e51&p2=80
mujtvprogram-495,495,Markíza International,74,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=1e5edc666f6748d00ece0e8c8fd92d8b&p2=80
mujtvprogram-1017,1017,Markíza Krimi,54,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=bcbe656b111f70a50fedabf40c644cdc&p2=80
mujtvprogram-183,183,Markíza,38,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=169623c0f6ffdf692434641b8e32f6be&p2=80
mujtvprogram-383,383,Mezzo Live HD,377,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=3908ce66327022c16ae2a9073b585c43&p2=80
mujtvprogram-67,67,Mezzo,364,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=f38d12b7f31bca39abb7db4587a78647&p2=80
mujtvprogram-32,32,Minimax,319,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=a9796d9f8fb016a7c5a8e03b993b0cb9&p2=80
mujtvprogram-423,423,Mňam TV,156,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=ddd8469fe80299db01ec4f90ee4911c5&p2=80
mujtvprogram-568,568,Mňau TV,164,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=618f6448461bb9567fe7fe8e51e01ab7&p2=80
mujtvprogram-149,149,MTV Europe CZ,359,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=8339c5610fb20cf8b4e5665629e74fae&p2=80
mujtvprogram-20,20,MTV Europe,365,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=d2dd7c5975b51cb388666c3758fb7159&p2=80
mujtvprogram-159,159,MTV Hits,362,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=1f8effe964d4a3046cfeff9ef2946195&p2=80
mujtvprogram-232,232,MTV Live HD,358,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=50afa67f9cc8ba3fb582be8c144ad602&p2=80
mujtvprogram-66,66,MTV 00s,352,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=9deac106d859eca97e7d7816302dd5c0&p2=80
mujtvprogram-106,106,MTV 80s,353,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=82d61cd2f24941449ccea01018a9c26d&p2=80
mujtvprogram-158,158,MTV 90s,361,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=0be43cccc1f96e3923354014116d07aa&p2=80
mujtvprogram-132,132,Music Box,613,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=2ec218a14fb1aa2abac4ceee2c031f6d&p2=80
mujtvprogram-214,214,National Geographic HD,124,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=25bd26f8922442392251d4f9a9ff54e1&p2=80
mujtvprogram-82,82,National Geographic Wild,126,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=3bfcbc78d72ec27d51e11e87111f092d&p2=80
mujtvprogram-21,21,National Geographic,121,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=f0578ba97cddee9b0580d06620967602&p2=80
mujtvprogram-624,624,Nickelodeon,334,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=991b80efeb8cec05d61213d8d1820eef&p2=80
mujtvprogram-622,622,Nick Jr. Czech,335,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=5f4ddcb70e7b7be962748d13ce162561&p2=80
mujtvprogram-759,759,Nicktoons,336,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=7a38a2357ec572283831961a47f46e92&p2=80
mujtvprogram-558,558,Nova Action,18,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=25ebf360f8f0468e1718867e521bfdfe&p2=80
mujtvprogram-78,78,Nova Cinema,184,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=171d42bbb605364a78987918bdcd06b3&p2=80
mujtvprogram-560,560,Nova Fun,19,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=c1a9cba821271db0677a95b4e971e9dc&p2=80
