xmltv_id,site_id,name,channelNumber,logoUrl
skylink.sk-220,WszcDrocQ7FC5TXnEu439DNGkQgvRB5yLbXhK29c,Comedy Central Hungary,220,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Comedy%20Central%20Hungary_m.png
skylink.sk-223,aDdg_PPnqyTlccNjfNTJguZLMlY-hboCmMdGW0X9,Galaxy4,223,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Galaxy4_m.png
skylink.sk-225,1-gvWGX6IGlVCJPnrTQMt3iz9qSMScR40mnGhQaC,TV2Klub,225,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/TV2Klub_m.png
skylink.sk-226,0IiCKhLoqKYcgd15W3mPcSx1yCQaBTVW5Kf5QMeY,TV2 Sef,226,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/TV2%20Sef_m.png
skylink.sk-229,JD8qQ328piawOfwzLK9DrAUSg1-IVvb_GtF3mKBH,Slager TV,229,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Slager%20TV_m.png
skylink.sk-230,r_MbxGlu77sos-M9HVDIPIVTmg9B04uhLDYByuK5,Muzsika TV,230,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Muzsika%20TV_m.png
skylink.sk-350,rdnZQ_3VDQPxOmd6WUQwCRh7TXo8fakVZQGhIvxH,CANAL+ Sport (CZ),350,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/CANAL%20Sport%20%28CZ%29_m.png
skylink.sk-351,ox5vy8seMD_1InAHb64e0NXdmf2KBgIlzQtgfK-3,CANAL+ Sport 2 (CZ),351,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/CANAL%20Sport%202%20%28CZ%29_m.png
skylink.sk-352,pcnqlSTDkypffsSdJ-HhLkbqsAXePg9NgX6zn2_X,CT 1 JM HD,352,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/CT%201%20JM%20HD_m.png
skylink.sk-353,0N_IHClF7cAuVHh3WyKgoYuqr0KuqBPW4EzRNpuu,CT 1 SM HD,353,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/CT%201%20SM%20HD_m.png
skylink.sk-354,E40iP10gDtOvpgAqF7zdYOQYw4corxNsh-UrUi7S,CT 1 JZC HD,354,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/CT%201%20JZC%20HD_m.png
skylink.sk-355,7ETt_NFV4Q9mELs2aOGJH4nwVBdugdIEcl41wzTx,CT 1 SVC HD,355,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/CT%201%20SVC%20HD_m.png
skylink.sk-356,flMXbPjFjxi4vmmW0M74kAvI0bQCkjN_IhDl6lUT,Prima HD,356,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Prima%20HD_m.png
skylink.sk-357,GIWXWJ8Db1hIe69rCijH8KFxK87NB2hG0vZXFopm,Nova HD,357,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Nova%20HD_m.png
skylink.sk-358,pFWu-Y8Bu5LwZxmE_HK8w2D8g9WKQGBDQlnNLl4L,Nova Cinema HD,358,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Nova%20Cinema%20HD_m.png
skylink.sk-359,-9sKa_OO31Zbi4mDGaMlTwh3_FOxHSXAuLYgYXVy,Nova Action HD,359,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Nova%20Action%20HD_m.png
