1;Jednotka HD;3-3213-15224
2;Dvojka HD;3-3213-15225
3;Markiza HD;3-3214-14129
4;DAJTO HD;3-3209-13207
5;TV JOJ HD;3-3209-13208
6;JOJ PLUS HD;3-3209-13209
7;JOJ Cinema HD;3-3219-13145
8;Prima MAX HD;3-3212-14053
9;CANAL+ Action;3-3214-14134
10;RTVS SPORT HD;3-3213-15227
11;JOJ Sport HD;3-3209-13214
12;RTVS 24 HD;3-3213-15226
13;TA3 HD;3-3234-4904
14;JOJ 24 HD;3-3209-13216
15;WAU HD;3-3219-13135
16;DOMA HD;3-3214-14130
17;Markiza Krimi HD;3-3209-13215
18;Prima COOL HD;3-3209-13206
19;Film+ HD;3-3221-15602
20;Film+ SK;3-3213-15222
21;Filmbox Extra HD;3-3216-15406
22;Skylink 7;3-3233-8011
23;Epic Drama HD;3-3212-14080
24;Prima PLUS HD;3-3233-8009
25;Prima Krimi HD;3-3212-14060
26;Prima Love HD;3-3212-14063
27;AMC SK;3-3213-15221
28;Filmbox;3-3212-14057
29;Filmbox Stars;3-3221-15609
30;AXN CZ;3-3220-789
31;AXN White;3-3213-15211
32;AXN Black;3-3213-15210
33;Film Europe+ HD;3-3221-15607
34;Film Europe HD;3-3216-15405
35;CT 1 HD;3-3233-8001
36;CT 2 HD;3-3233-8002
37;CT 24 HD;3-3233-8003
38;CT :D/art HD;3-3233-8005
39;CT sport HD;3-3233-8004
40;Arena Sport 1 HD;3-3216-15401
41;Arena Sport 2 HD;3-3214-14116
42;Nova Sport 1 HD;3-3209-13203
43;Nova Sport 2 HD;3-3214-14110
44;Sport 1 HD;3-3219-13131
45;Sport 2 HD;3-3220-792
46;CNN Prima News HD;3-3212-14079
47;Nat Geo HD CZ;3-3220-771
48;National Geographic Wild HD CZ;3-3220-773
49;Love Nature HD CZ;3-3220-783
50;Prima ZOOM HD;3-3212-14056
51;Spektrum HD;3-3220-784
52;History HD;3-3216-15414
53;Viasat Explore;3-3216-15407
54;Viasat History HD;3-3221-15600
55;Viasat Nature HD;3-3221-15601
56;TV Barrandov HD;3-3220-796
57;Barrandov Krimi;3-3220-798
58;Kino Barrandov;3-3220-797
59;STORY4 HD;3-3221-15608
60;CS Film;3-3212-14058
61;CS Mystery;3-3219-13133
62;CS History;3-3219-13146
63;CS Horror;3-3212-14059
64;Prima Show;3-3212-14062
65;Prima STAR;3-3212-14061
66;TV Spark;3-3216-15409
67;Nova International;3-3209-13211
68;Spektrum Home;3-3213-15215
69;Fishing and Hunting;3-3220-788
70;A11;3-3220-786
71;TV8 HD;3-3221-15613
72;Mnam TV;3-3221-15610
73;Hobby TV;3-3216-15408
74;RELAX;3-3216-15417
75;Golf Channel;3-3216-15413
76;TV Lux HD;3-3233-8014
77;TV NOE;3-3234-4910
78;MTV Europe CZ;3-3220-780
79;Ocko TV;3-3224-5201
80;Ocko Star;3-3224-5202
81;Retro Music TV;3-3216-15418
82;Senzi;3-3212-14065
83;Slagr Premium HD;3-3216-15410
84;Slager Original;3-3219-13134
85;Slager Muzika;3-3209-13213
86;Jojko;3-3209-13210
87;Nick Jr Czech;3-3212-14064
88;Cartoon Network CZ;3-3212-14069
89;Disney CZ;3-3212-14076
90;duck TV;3-3212-14077
91;Minimax;3-3221-15611
92;Nicktoons CZ;3-3213-15220
93;LALA TV;3-3216-15402
94;Nickelodeon CZ;3-3219-13148
95;JimJam CZ;3-3216-15415
96;Travel XP HD;3-3202-6062
97;Vixen HD;3-3220-790
98;Penthouse Gold CZ;3-3214-14120
