156;France 24 (in English);1-1022-6906
157;(18+) Leo TV (22-06);3-3221-15612
158;(18+) VIXEN HD;3-3220-790
159;(18+) Penthouse Gold;3-3214-14120
160;(18+) Vivid CZ;53-1105-4065
161;(18+) Hustler TV CZ;53-1105-4109
162;(18+)  Penthouse Reality TV;3-3214-14122
163;(18+) Man-X (00-06);3-3222-21124
164;CANAL+ Sport (CZ);3-3214-14131
165;CT 1 JM HD;3-3233-8008
166;CT 1 SM HD;3-3233-8007
167;CT 1 JZC HD;3-3233-8012
168;CT 1 SVC HD;3-3233-8010
169;Prima HD;3-3209-13202
170;Nova HD;3-3209-13201
171;Nova Cinema HD;3-3209-13205
172;Nova Action HD;3-3209-13204
173;Nova Gold;3-3214-14113
174;Nova Fun HD;3-3214-14114
175;Nova Lady;3-3214-14115
176;Markiza International;3-3214-14112
177;JOJ Family HD;3-3219-13136
178;Paramount Network;3-3212-14052
179;RTLZWEI;1-1089-12020
180;RTL Television;1-1089-12003
181;RTL Super;1-1089-12040
182;SAT.1;1-1107-17500
183;SAT.1 Gold Osterreich;1-1031-5310
184;ProSieben;1-1107-17501
185;ProSieben MAXX Austria;1-1031-5311
186;Kabel Eins;1-1107-17502
187;VOX;1-1089-12060
188;Das Erste HD;1-1019-10301
189;ZDF HD;1-1011-11110
190;sport1;133-33-900
191;Eurosport 1 Deutschland;1-1091-31200
192;ORF 2 Europe;1-1117-13014
193;Disney Channel;133-5-1793
194;Anixe HD Serie;1-1053-21100
195;Kabel 1 Doku;1-1107-17509
196;DF1 HD;1-1007-4914
197;SWR BW HD;1-1019-10303
198;SR Fernsehen HD;1-1039-10378
199;TELE 5;133-33-51
200;RTLup;1-1089-12080
201;TOGGO plus;1-1089-12030
202;BR Nord HD;1-1025-10326
203;MDR Sachsen HD;1-1061-10352
204;NDR FS HH HD;1-1025-10329
205;WDR HD Koln;1-1021-28332
206;Radio Bremen TV;1-1039-10379
207;RBB Berlin HD;1-1061-10351
208;zdf_neo HD;1-1011-11130
209;ZDFinfo HD;1-1010-11170
210;Tagesschau 24 HD;1-1039-10375
211;oe24.TV HD;1-1005-13314
212;ONE HD;1-1039-10376
213;N24 DOKU;133-5-48
214;3sat HD;1-1010-11150
215;Arte HD;1-1019-10302
216;hr-fernsehen HD;1-1061-10355
217;R9 Osterreich HD;1-1005-13312
218;Regio TV;133-33-47
219;ARD-alpha;1-1039-10377
220;NITRO;1-1089-12061
221;TLC Deutschland;133-5-772
222;sixx;1-1107-17506
223;TV1 OOE;1-1115-13141
224;KiKA HD;1-1010-11160
225;NICK/MTV+;1-1078-28680
226;RiC;1-1117-13019
227;Comedy Central;1-1078-28676
228;DELUXE MUSIC;133-7-65
229;Deluxe Flashback;1-1112-10556
230;Deluxe Rock;1-1112-10553
231;Deluxe Dance;1-1112-10555
232;Deluxe Rap;1-1112-10554
233;MTV Germany;1-1078-28678
234;Stimmungsgarten TV;1-1005-13316
235;Deutsches Musik Fernsehen;1-1113-12604
236;DMAX;133-33-63
237;Volkmusic TV;1-1117-13018
238;Melodie TV;1-1005-13317
239;Newsmax HD;3-3216-15419
240;BBC News;1-1002-5001
241;CNN Int.;1-1066-6101
242;Sky News Intl;1-1111-7290
