158;ESPN 4 HD;3-3202-6068
159;NPO2 HD;3-3202-6080
160;SBS6 HD;3-3202-6090
161;ESPN HD;3-3202-6092
162;Filmbox NL HD;3-3202-6094
163;BBC Entertainment;3-3202-6097
164;CD Infokanaal;3-3202-6112
165;TVV Infokanaal;3-3202-6113
166;Travel XP HD BNL;3-3202-6063
167;Mezzo HD;3-3202-6166
168;Q-Music;3-3202-6126
169;Joe;3-3202-6127
170;Arrow Classic Rock;3-3202-6128
171;Classicnl;3-3202-6129
172;Radio Veronica;3-3202-6130
173;FunX;3-3202-6191
174;L1Radio;3-3202-6192
175;Sunlite Radio;3-3202-6193
176;Galaxy4;3-3204-15000
177;Duna HD;3-3204-15001
178;M1 HD;3-3204-15002
179;M2 / Petofi HD;3-3204-15003
180;M4 HD;3-3204-15004
181;M5 HD;3-3204-15005
182;Cool;3-3204-15006
183;Comedy Central Hungary;3-3204-15007
184;Duna World / M4 Sport+;3-3204-15008
185;Film+ HD Hungary;3-3204-15009
186;TV2 Comedy;3-3204-15010
187;Izaura TV;3-3204-15011
188;Comedy Central Family;3-3204-15012
189;Fem3;3-3204-15013
190;ATV;3-3204-15014
191;HirTV;3-3204-15015
192;Nickelodeon Hungary;3-3204-15016
193;Sorozat+;3-3204-15017
194;Zenebutik;3-3204-15018
195;Mozi+;3-3204-15019
196;Muzsika TV;3-3204-15020
197;Slager TV;3-3204-15021
198;Nick Jr Hungary;3-3204-15022
199;TV Pink;3-3205-20004
200;Prva;3-3205-20005
201;B92;3-3205-20006
202;Happy TV;3-3205-20007
203;Studio B;3-3205-20008
204;Red TV;3-3205-20010
205;Vesti;3-3205-20011
206;Film Klub;3-3205-20013
207;Prva MAX;3-3205-20014
208;Timeless Dizi Channel;3-3205-20015
209;Arena Sport 1 HD;3-3205-20020
210;Arena Sport 2 HD;3-3205-20021
211;Arena Sport 3 HD;3-3205-20022
212;Arena Sport 4 HD;3-3205-20023
213;Arena Sport 5 HD;3-3205-20024
214;Eurosport 1 HD;3-3205-20026
215;Eurosport 2 HD;3-3205-20027
216;NBA TV HD;3-3205-20028
217;SOS Kanal Plus;3-3205-20029
218;Nickelodeon;3-3205-20030
219;Minimax;3-3205-20031
