Golf Channel,,HBO2,,Markíza International,,Markíza HD,,200,Leo,leo.png,České,172|204|
HBO,,HBO3,,Minimax,,Markíza Krimi HD,,57,Minimax,Minimax.png,České,93|162|
HBO2,,History HD,,Mňam TV,,Minimax,,1012,Mňam TV,mnam.png,České,114||
HBO3,,Hobby TV,,MTV DE,,Mňam TV,,234,MTV,mtv.png,České,123||
History HD,,Hustler,,MTV Europe CZ,,MTV DE,,232,National Geographic HD,NG_HD.png,České,51|123|
Hobby TV,,INPLUS,,MTV 00s,,MTV Europe CZ,,106,National Geographic Wild,ngwild.png,České,52|125|
Hustler,,Jednotka HD,,MTV 80s,,MTV 00s,,254,Nickelodeon,nickelodeon.png,České,91|164|
INPLUS,,JimJam,,Náš region TV,,MTV 80s,,205,Nova Sport 1,nova_sport_1.png,České,82|102|
Jednotka HD,,JOJ Cinema HD,,National Geographic HD,,Náš region TV,,1038,Nova Sport 2,nova_sport_2.png,České,83|103|
JimJam,,JOJ HD,,National Geographic Wild,,National Geographic HD,,114,Noe,noe.png,České,182||
JOJ Cinema HD,,Jojko,,Newsmax HD,,National Geographic Wild HD,,1025,O2 Info 1,o2tv.png,České,13||
JOJ Family HD,,JOJ Šport HD,,Nickelodeon,,Newsmax HD,,1040,O2 Sport,o2_sport.png,České,5||
Kino Barrandov,,JOJ 24 HD,,Nickelodeon DE,,Nickelodeon,,53,Óčko,ocko.png,České,122|28|
LALA TV,,LALA TV,,Nick Jr Czech,,Nickelodeon DE,,831,Óčko Expres,ocko-expres.png,České,130||
LEO TV,,LEO TV,,Nicktoons,,Nick Jr Czech,,736,Óčko Star,ocko-gold.png,České,121|29|
Love Nature HD,,Love Nature HD,,Nova Action HD,,Nicktoons,,251,OIK TV,oik.png,České,||
Man-X,,Man-X,,Nova Cinema HD,,Nova International,,62,Paprika,paprika.png,České,113|138|
Markíza International,,Markíza HD,,Nova Fun HD,,Nova Sport 1 HD,,1123,Paramount Network,paramountnetwork.png,České,14|19|
Mezzo HD,,Markíza Krimi HD,,Nova Gold,,Nova Sport 2 HD,,1122,Prima MAX,prima_max.png,České,9|15|
Minimax,,Mezzo HD,,Nova HD,,ÓČKO,,1196,Prima Krimi,prima_krimi.png,České,15|21|
Mňam TV,,Minimax,,Nova Sport 1 HD,,ÓČKO BLACK HD,,496,Prima LOVE,primalove.png,České,7|17|
MTV DE,,Mňam TV,,Nova Sport 2 HD,,ÓČKO EXPRES HD,,589,POLAR,polar.png,České,||
MTV Europe CZ,,MTV DE,,ÓČKO,,ÓČKO STAR,,879,Rebel,rebel.png,České,185|33|
MTV 00s,,MTV Europe CZ,,ÓČKO BLACK HD,,Penthouse Gold,,889,PRAHA TV,prahatv.png,České,188||
MTV 80s,,MTV 00s,,ÓČKO EXPRES HD,,Playboy TV Europe,,681,Náš REGION TV,nasregiontv.png,České,|35|
Náš region TV,,MTV 80s,,ÓČKO STAR,,Plus HD,,248,Retro Music,Retro.png,České,124|30|
National Geographic HD,,Náš region TV,,Paramount Network,,Prima PLUS HD,,252,RTM,rtm.png,České,||
National Geographic Wild,,National Geographic HD,,Penthouse Gold,,Rebel,,1024,RT Ústecko,rt_ustecko.png,České,||
Nautical HD,,National Geographic Wild HD,,Playboy TV Europe,,RELAX,,544,Slovácko,slovacko.png,České,||
Newsmax HD,,Nautical HD,,Prima COOL HD,,Retro,,707,Nova Fun,nova_2.png,České,34|14|
Nickelodeon,,Newsmax HD,,Prima HD,,RTVS ŠPORT HD,,7,Spektrum,spektrum.png,České,61|126|
Nickelodeon DE,,Nickelodeon,,Prima KRIMI HD,,RTVS 24 HD,,77,Spektrum Home,spektrumhome.png,České,112||
Nick Jr Czech,,Nickelodeon DE,,Prima LOVE HD,,Senzi,,75,Sport1,sport1.png,České,79|104|
Nicktoons,,Nick Jr Czech,,Prima MAX HD,,Skylink 7,,221,Sport2,sport2.png,České,80|105|
Nova Action HD,,Nicktoons,,Prima Show,,Sky News International,,197,Sport 5,sport5.png,České,84|106|
Nova Cinema HD,,Nova International,,Prima STAR,,Spektrum HD,,684,Šlágr Originál,slagroriginal.png,České,120|31|
Nova Fun HD,,Nova Sport 1 HD,,Prima ZOOM HD,,Sport 1 DE,,712,Nova Gold,nova_gold.png,České,35|13|
Nova Gold,,Nova Sport 2 HD,,Rebel,,Sport 1 HD,,207,The Fishing and Hunting,fishingandhunting.png,České,117||
Nova HD,,ÓČKO,,RELAX,,Sport 2 HD,,194,TIK,TIK.png,České,||
Nova Sport 1 HD,,ÓČKO BLACK HD,,Retro,,SPORT5,,549,TLC,tlc.png,České,111|137|
Nova Sport 2 HD,,ÓČKO EXPRES HD,,RTVS 24 HD,,Šláger Muzika,,104,Travel Channel,travelch.png,České,49|133|
ÓČKO,,ÓČKO STAR,,Senzi,,Šláger Originál,,716,RELAX,relax.png,České,183|34|
ÓČKO BLACK HD,,Penthouse Gold,,Skylink 7,,Šlágr Premium HD,,878,regiony+,upcexpress.png,České,||
ÓČKO EXPRES HD,,Penthouse Reality TV,,Sky News International,,TA3 HD,,706,V1,v1.png,České,||
ÓČKO STAR,,Playboy TV Europe,,Spektrum HD,,Travelxp HD,,69,Viasat Explorer,viasatexplore.png,České,53||
Paramount Network,,Plus HD,,Sport 1 DE,,TV Lux HD,,70,Viasat History,viasathistory.png,České,54|130|
