Nova Sport 1,NovaSport1.cz
Nova Sport 2,NovaSport2.cz
Nova Sport 3,NovaSport3.cz
Nova Sport 4,NovaSport4.cz
O2 TV Fotbal,O2TVFotbal.cz
O2 TV Sport,O2TVSport.cz
O2 TV Sport 2,O2TVSport2.cz
O2 TV Sport 3,O2TVSport3.cz
O2 TV Sport 4,O2TVSport4.cz
O2 TV Sport 5,O2TVSport5.cz
O2 TV Sport 6,O2TVSport6.cz
O2 TV Tenis,O2TVTenis.cz
Outdoor Channel,OutdoorChannel.us
Paramount Network,ParamountNetworkCzechRepublic.cz
Park TV,ParkTV.sk
Playboy TV Europe,PlayboyTVEurope.us
Premier Sport 1,PremierSport1.sk
Premier Sport 2,PremierSport2.sk
Prima,Prima.cz
Prima Cool,PrimaCool.cz
Prima Krimi,PrimaKrimi.cz
Prima Love,PrimaLove.cz
Prima Max,PrimaMax.cz
Prima Plus,PrimaPlus.cz
Prima Show,PrimaShow.cz
Prima Star,PrimaStar.cz
Prima Zoom,PrimaZoom.cz
Reality Kings TV,RealityKingsTV.us
Rebel,Rebel.cz
Regionální TV,RegionalniTV.cz
Relax,Relax.cz
Retro Music TV,RetroMusicTV.cz
Rik,Rik.sk
RTVS 1,RTVS1.sk
RTVS 2,RTVS2.sk
RTVS 24,RTVS24.sk
RTVS 3,RTVS3.sk
RTVS Šport,RTVSSport.sk
Senzi,Senzi.sk
Sláger TV,SlagerTV.hu
Slágr 2,Slagr2.cz
Slágr Muzika,SlagrMuzika.cz
Slágr Original,SlagrOriginal.cz
Slágr Premium,SlagrPremium.cz
Spektrum Czech,SpektrumCzech.hu
Spektrum Home Czech,SpektrumHomeCzech.hu
Sport 1 Czechia,Sport1Czechia.hu
Sport 2 Czechia,Sport2Czechia.hu
Sport 5,Sport5.cz
Stingray Classica,StingrayClassica.ca
Stingray CMusic,StingrayCMusic.ca
Stingray Djazz,StingrayDjazz.nl
Stingray IConcerts,StingrayiConcerts.ca
TA 3,TA3.sk
The Fishing & Hunting Channel,TheFishingHuntingChannel.hu
Travelxp HD Europe,TravelxpHDEurope.in
Tuki TV,TukiTV.sk
TV 7,TV7.sk
TV Barrandov,TVBarrandov.cz
TV Central,TVCentral.sk
TV Doma,TVDoma.sk
TV Joj,TVJOJ.sk
TV Lux,TVLux.sk
TV Markíza,TVMarkiza.sk
TV Natura,TVNatura.cz
TV Noe,TVNOE.cz
TV Nova,TVNova.cz
TV Osem,TVOSEM.sk
TV Paprika Czech Republic,TVPaprikaCzechRepublic.cz
TV Povazie,TVPovazie.sk
TV Raj,TVRaj.sk
TV Romana,TVRomana.sk
TV Severka,TVSeverka.sk
TV Seznam,TVSeznam.cz
TV Vega,TVVega.sk
TV Východ,TVVychod.sk
Up Network,UpNetwork.cz
Viasat Explore East,ViasatExplore.se
Viasat History,ViasatHistory.se
Viasat Nature East,ViasatNature.se
Wau TV,TVWAU.sk
Ócko,Ocko.cz
Ócko Black,OckoBlack.cz
Ócko Expres,OckoExpres.cz
Ócko Star,OckoStar.cz
